facilities,address,lat,lon,fac_type
私立強恕中學,[100]臺北市中正區板溪里汀州路二段143號,25.02547,121.520246,學校
臺北市開南高中,[100]臺北市中正區東門里濟南路一段6號,25.042361,121.521825,學校
私立南華高中進修學校,[100]臺北市中正區富水里汀州路3段58號,25.015647,121.53105,學校
市立建國中學,[100]臺北市中正區龍光里南海路56號,25.030611,121.512344,學校
市立成功中學,[100]臺北市中正區幸福里濟南路1段71號,25.042476,121.523631,學校
市立北一女中,[100]臺北市中正區建國里重慶南路1段165號,25.038436,121.513545,學校
私立靜修高中,[103]臺北市大同區雙連里寧夏路59號,25.057904,121.515505,學校
私立稻江高商,[103]臺北市大同區隆和里民權西路225巷24號,25.064338,121.511953,學校
私立志仁中學進修學校,[103]臺北市大同區建泰里南京西路64巷17號,25.052197,121.51878,學校
市立明倫高中,[103]臺北市大同區重慶里承德路三段336號,25.075807,121.518787,學校
市立成淵高中,[103]臺北市大同區民權里承德路二段235號,25.061525,121.519023,學校
市立華江高中,[108]臺北市萬華區日善里西藏路213號,25.028489,121.496439,學校
市立大理高中,[108]臺北市萬華區綠堤里長順街2號,25.030643,121.490845,學校
國立政大附中,[116]臺北市文山區政大里政大一街353號,24.987679,121.585609,學校
私立東山高中,[116]臺北市文山區老泉里老泉街26巷3號,24.973033,121.561652,學校
私立滬江高中,[116]臺北市文山區景美里羅斯福路六段336號,24.989401,121.538873,學校
私立大誠高中,[116]臺北市文山區萬興里秀明路二段175號,24.990972,121.57828,學校
私立再興中學,[116]臺北市文山區明義里興隆路4段2號,24.989918,121.556635,學校
私立景文高中,[116]臺北市文山區木新里保儀路127號,24.985368,121.5674,學校
私立靜心高中,[116]臺北市文山區興福里興隆路二段46號,24.998751,121.546564,學校
市立景美女中,[116]臺北市文山區樟文里木新路三段312號,24.981319,121.556218,學校
市立萬芳高中,[116]臺北市文山區興光里興隆路三段115巷1號,25.00089,121.558908,學校
市立數位實驗高中,[116]臺北市文山區試院路2號,24.987595,121.550046,學校
市立木柵高工,[116]臺北市文山區博嘉里木柵路四段77號,24.996353,121.572047,學校
市立南港高中,[115]臺北市南港區西新里向陽路21號,25.052283,121.594875,學校
市立育成高中,[115]臺北市南港區南港里重陽路366號,25.058687,121.609165,學校
市立南港高工,[115]臺北市南港區南港里興中路29號,25.055824,121.607569,學校
私立文德女中,[114]臺北市內湖區紫陽里成功路3段70號,25.077564,121.589733,學校
私立達人高中,[114]臺北市內湖區湖濱里內湖路二段314號,25.080785,121.58781,學校
市立內湖高中,[114]臺北市內湖區紫陽里文德路218號,25.078143,121.586413,學校
市立麗山高中,[114]臺北市內湖區港華里環山路二段100號,25.084306,121.578112,學校
市立南湖高中,[114]臺北市內湖區南湖里康寧路三段220號,25.066512,121.610493,學校
市立內湖高工,[114]臺北市內湖區港墘里內湖路1段520號,25.079647,121.575021,學校
私立泰北高中,[111]臺北市士林區福林里福林路240號,25.09713,121.534103,學校
私立衛理女中,[111]臺北市士林區臨溪里至善路二段321號,25.102036,121.551654,學校
私立華興中學,[111]臺北市士林區芝山里仰德大道1段101號,25.105746,121.537966,學校
私立華岡藝校,[111]臺北市士林區陽明里建業路73巷8號,25.137222,121.549011,學校
市立陽明高中,[111]臺北市士林區後港里中正路510號,25.092021,121.516835,學校
市立百齡高中,[111]臺北市士林區義信里承德路4段177號,25.087121,121.523263,學校
市立士林高商,[111]臺北市士林區後港里士商路150號,25.094684,121.516318,學校
私立薇閣高中,[112]臺北市北投區中心里珠海路50號,25.139491,121.504491,學校
臺北市幼華高中,[112]臺北市北投區大同里北投路二段55號,25.133741,121.496437,學校
私立奎山實驗高級中學,[112]臺北市北投區榮華里明德路200號,25.112955,121.522059,學校
私立惇敍工商,[112]臺北市北投區泉源里泉源路221號,25.144646,121.527125,學校
市立復興高中,[112]臺北市北投區開明里復興四路70號,25.143726,121.501824,學校
市立中正高中,[112]臺北市北投區建民里文林北路77號,25.10442,121.516626,學校
市立板橋國中,[220]新北市板橋區中正路437號,25.02407,121.453801,學校
市立重慶國中,[220]新北市板橋區國慶路221號,24.998161,121.462669,學校
市立江翠國中,[220]新北市板橋區松江街63號,25.029175,121.468239,學校
市立中山國中,[220]新北市板橋區文化路一段188巷56號,25.017874,121.468014,學校
市立新埔國中,[220]新北市板橋區新海路181號,25.024131,121.459516,學校
市立新莊國中,[242]新北市新莊區中正路211號,25.035772,121.451989,學校
市立新泰國中,[242]新北市新莊區新泰路359號,25.042366,121.44387,學校
市立福營國中,[242]新北市新莊區富國路105號,25.02554,121.422216,學校
市立頭前國中,[242]新北市新莊區中原路2號,25.055327,121.458754,學校
市立光榮國中,[241]新北市三重區介壽路26號,25.070516,121.499425,學校
市立明志國中,[241]新北市三重區中正北路107號,25.063495,121.489035,學校
市立碧華國中,[241]新北市三重區三信路166號,25.087439,121.488961,學校
市立永和國中,[234]新北市永和區國中路111號,25.00595,121.522978,學校
市立福和國中,[234]新北市永和區永利路71號,25.004406,121.520804,學校
市立中和國中,[235]新北市中和區興南路二段3巷17號,24.985671,121.508207,學校
市立積穗國中,[235]新北市中和區民安街66號,25.000639,121.479372,學校
市立漳和國中,[235]新北市中和區廣福路39號,25.002443,121.505903,學校
市立鶯歌國中,[239]新北市鶯歌區尖山埔路108號,24.951012,121.344194,學校
市立柑園國中,[238]新北市樹林區柑園街二段125號,24.954378,121.384143,學校
市立土城國中,[236]新北市土城區永寧路18號,24.962348,121.429813,學校
市立三峽國中,[237]新北市三峽區復興路238號,24.939514,121.37015,學校
市立八里國中,[249]新北市八里區荖阡坑路15號,25.139769,121.400884,學校
市立泰山國中,[243]新北市泰山區泰林路二段498號,25.06515,121.425164,學校
市立五股國中,[248]新北市五股區成泰路二段49巷15號,25.083273,121.435723,學校
市立蘆洲國中,[247]新北市蘆洲區中正路265號,25.08689,121.466138,學校
市立林口國中,[244]新北市林口區民治路25號,25.07724,121.376838,學校
市立汐止國中,[221]新北市汐止區禮門里大同路二段394號,25.066619,121.658626,學校
市立淡水國中,[251]新北市淡水區文化里真理街10號,25.174969,121.43665,學校
市立三芝國中,[252]新北市三芝區淡金路一段38號,25.259371,121.501856,學校
市立石門實驗國中,[253]新北市石門區中央路1之9號,25.29156,121.564392,學校
市立萬里國中,[207]新北市萬里區獅頭路24號,25.17694,121.694869,學校
市立坪林實驗國中,[232]新北市坪林區國中路4號,24.937885,121.711895,學校
市立文山國中,[231]新北市新店區文中路38號,24.956501,121.539074,學校
市立五峰國中,[231]新北市新店區中興路一段253號,24.966992,121.543901,學校
市立瑞芳國中,[224]新北市瑞芳區三爪子坑路1號,25.107039,121.815568,學校
市立欽賢國中,[224]新北市瑞芳區崙頂路3之1號,25.10498,121.845747,學校
市立貢寮實驗國中,[228]新北市貢寮區嵩陽街42號,25.016403,121.907086,學校
市立深坑國中,[222]新北市深坑區文化街41號,25.001432,121.618562,學校
市立平溪國中,[226]新北市平溪區靜安路二段295號,25.024498,121.73326,學校
市立烏來國中(小),[233]新北市烏來區啦卡路5號,24.863278,121.553872,學校
市立溪崑國中,[220]新北市板橋區大觀路三段50巷30號,24.997076,121.431514,學校
市立自強國中,[235]新北市中和區莒光路191號,24.997923,121.473214,學校
市立中正國中,[236]新北市土城區金城路二段247號,24.984018,121.456573,學校
市立義學國中,[243]新北市泰山區民生路33號,25.051339,121.430387,學校
市立中平國中,[242]新北市新莊區中平路385號,25.053685,121.444107,學校
市立鳳鳴國中,[239]新北市鶯歌區永和街33號,24.967508,121.331694,學校
市立三和國中,[241]新北市三重區三和路四段216號,25.075722,121.486414,學校
市立尖山國中,[239]新北市鶯歌區國中街1號,24.94389,121.342464,學校
市立正德國中,[251]新北市淡水區北新路109號,25.178691,121.446989,學校
市立安溪國中,[237]新北市三峽區大同路135號,24.926357,121.373608,學校
市立育林國中,[238]新北市樹林區復興路395號,24.98488,121.415058,學校
市立青山國中(小),[221]新北市汐止區莊敬街33號,25.060614,121.656737,學校
市立崇林國中,[244]新北市林口區文化一路一段20號,25.067304,121.371047,學校
市立二重國中,[241]新北市三重區忠孝路三段89號,25.065743,121.479944,學校
市立大觀國中,[220]新北市板橋區僑中一街1號,25.011066,121.448336,學校
市立三多國中,[238]新北市樹林區三多路101號,25.005803,121.413944,學校
市立忠孝國中,[220]新北市板橋區重慶路168號,25.004646,121.461498,學校
市立鷺江國中,[247]新北市蘆洲區長樂路235號,25.090318,121.461789,學校
市立桃子腳國中(小),[238]新北市樹林區學勤路555號,24.950053,121.382803,學校
市立佳林國中,[244]新北市林口區中山路268號,25.08076,121.38442,學校
市立達觀國中(小),[231]新北市新店區僑信路1號,24.953214,121.500865,學校
市立介壽國中,[105]臺北市松山區介壽里延壽街401號,25.056669,121.556975,學校
市立民生國中,[105]臺北市松山區新東里新東街30巷1號,25.059835,121.567294,學校
市立敦化國中,[105]臺北市松山區南京東路三段300號,25.051143,121.546791,學校
市立興雅國中,[110]臺北市信義區安康里松德路168巷15號,25.03623,121.572285,學校
市立永吉國中,[110]臺北市信義區四育里8鄰松隆路161號,25.04829,121.573799,學校
市立瑠公國中,[110]臺北市信義區中行里福德街221巷15號,25.037177,121.58554,學校
市立信義國中,[110]臺北市信義區三張里松仁路158巷1號,25.02874,121.567934,學校
私立立人國中(小),[106]臺北市大安區通安里安和路二段99號,25.029692,121.551798,學校
市立仁愛國中,[106]臺北市大安區敦安里仁愛路四段130號,25.037299,121.550822,學校
市立大安國中,[106]臺北市大安區龍雲里四維路156號,25.030716,121.547009,學校
市立金華國中,[106]臺北市大安區福住里新生南路二段32號,25.030985,121.532898,學校
市立懷生國中,[106]臺北市大安區義村里忠孝東路三段248巷30號,25.040378,121.541087,學校
市立民族實驗國中,[106]臺北市大安區學府里羅斯福路四段113巷13號,25.011004,121.538827,學校
市立龍門國中,[106]臺北市大安區龍門里建國南路二段269號,25.024721,121.53809,學校
市立長安國中,[104]臺北市中山區興亞里松江路70巷11號,25.049329,121.531842,學校
市立北安國中,[104]臺北市中山區劍潭里明水路325號,25.078,121.541696,學校
市立新興國中,[104]臺北市中山區聚葉里林森北路511號,25.062056,121.525912,學校
市立五常國中,[104]臺北市中山區下埤里復興北路430巷1號,25.063615,121.54344,學校
市立濱江實驗國中,[104]臺北市中山區金泰里樂群二路262號,25.079594,121.560462,學校
市立螢橋國中,[100]臺北市中正區林興里汀州路三段4號,25.018554,121.525554,學校
市立古亭國中,[100]臺北市中正區永功里中華路二段465號,25.024761,121.510594,學校
市立南門國中,[100]臺北市中正區南門里廣州街6號,25.033556,121.509417,學校
市立弘道國中,[100]臺北市中正區建國里公園路21號,25.036975,121.515375,學校
市立建成國中,[103]臺北市大同區建泰里長安西路37之1號,25.051589,121.518813,學校
市立民權國中,[103]臺北市大同區隆和里重慶北路三段1號,25.063532,121.514728,學校
市立蘭州國中,[103]臺北市大同區至聖里大龍街187巷1號,25.069338,121.516742,學校
市立萬華國中,[108]臺北市萬華區日善里西藏路201號,25.028188,121.498828,學校
市立雙園國中,[108]臺北市萬華區和德里興義街2號,25.027601,121.492597,學校
市立龍山國中,[108]臺北市萬華區富福里南寧路46號,25.035919,121.504743,學校
市立木柵國中,[116]臺北市文山區木柵里木柵路三段102巷12號,24.987353,121.566976,學校
市立實踐國中,[116]臺北市文山區樟林里辛亥路七段67號,24.983506,121.554846,學校
市立北政國中,[116]臺北市文山區指南里指南路三段2巷14號,24.984584,121.577692,學校
市立景美國中,[116]臺北市文山區景華里景中街27號,24.993214,121.542944,學校
市立興福國中,[116]臺北市文山區興旺里福興路80號,25.004931,121.54991,學校
市立景興國中,[116]臺北市文山區景華里景興路46巷2號,24.996389,121.544048,學校
市立誠正國中,[115]臺北市南港區新富里富康街1巷24號,25.053923,121.618796,學校
市立成德國中,[115]臺北市南港區成福里東新街108巷23號,25.044691,121.587874,學校
市立內湖國中,[114]臺北市內湖區紫陽里陽光街1號,25.076682,121.588959,學校
市立麗山國中,[114]臺北市內湖區港都里內湖路一段629巷42號,25.081864,121.575248,學校
市立三民國中,[114]臺北市內湖區湖興里民權東路六段45號,25.06982,121.58628,學校
市立西湖實驗國中,[114]臺北市內湖區西湖里環山路一段27號,25.085602,121.56594,學校
市立東湖國中,[114]臺北市內湖區樂康里康樂街131號,25.072436,121.619687,學校
市立明湖國中,[114]臺北市內湖區葫洲里康寧路三段60號,25.070688,121.610595,學校
市立士林國中,[111]臺北市士林區福德里中正路345號,25.092974,121.523397,學校
市立蘭雅國中,[111]臺北市士林區三玉里忠誠路二段51號,25.110585,121.531054,學校
市立至善國中,[111]臺北市士林區臨溪里至善路二段360號,25.103253,121.555676,學校
市立格致國中,[111]臺北市士林區陽明里仰德大道四段75號,25.131325,121.546198,學校
市立福安國中,[111]臺北市士林區福安里延平北路七段250號,25.10348,121.487533,學校
市立天母國中,[111]臺北市士林區三玉里天母東路120號,25.117595,121.538189,學校
市立北投國中,[112]臺北市北投區溫泉里溫泉路62號,25.134477,121.504374,學校
市立新民國中,[112]臺北市北投區林泉里新民路10號,25.138751,121.506398,學校
市立明德國中,[112]臺北市北投區建民里明德路50號,25.10754,121.518416,學校
市立桃源國中,[112]臺北市北投區一德里中央北路四段48號,25.135772,121.476498,學校
市立石牌國中,[112]臺北市北投區吉利里石牌路一段139號,25.115006,121.513593,學校
市立關渡國中,[112]臺北市北投區關渡里知行路212號,25.119901,121.467417,學校
國立華僑高級中等學校附設國中,[220]新北市板橋區大觀路一段32號,25.007773,121.446137,學校
私立淡江高中附設國中,[251]新北市淡水區真理街26號,25.175521,121.435877,學校
私立康橋高中附設國中,[231]新北市新店區華城路800號,24.911025,121.497468,學校
私立金陵女中附設國中,[241]新北市三重區重新路五段656號,25.042766,121.467247,學校
新北市裕德高級中等學校附設國中,[236]新北市土城區擺接堡路1號,24.983067,121.440214,學校
財團法人南山高中附設國中,[235]新北市中和區廣福路41號,25.00133,121.503481,學校
財團法人恆毅高中附設國中,[242]新北市新莊區中正路108號,25.036839,121.454145,學校
私立聖心女中附設國中,[249]新北市八里區龍米路一段263號,25.134722,121.449528,學校
私立崇義高中附設國中,[221]新北市汐止區大同路三段68號,25.077019,121.66942,學校
財團法人福瑞斯特高中附設國中,[236]新北市土城區城林路2號,24.975626,121.437438,學校
私立格致高中附設國中,[241]新北市三重區大智街260號,25.073839,121.488727,學校
私立醒吾高中附設國中,[244]新北市林口區粉寮路一段75巷80號,25.079791,121.395629,學校
私立徐匯高中附設國中,[247]新北市蘆洲區中山一路1號,25.079936,121.479984,學校
財團法人崇光高中附設國中,[231]新北市新店區三民路18號,24.971969,121.539192,學校
私立光仁高中附設國中,[220]新北市板橋區中山路二段255巷18號,25.018526,121.475904,學校
私立竹林高中附設國中,[235]新北市中和區華新街143巷12號,24.979828,121.505436,學校
私立中信高中附設國中,[231]新北市新店區安興路1號,24.966774,121.514641,學校
財團法人辭修高中附設國中,[237]新北市三峽區溪東路251號,24.933112,121.409249,學校
新北市林口康橋國際高中附設國中,[244]新北市林口區興林路55號,25.074357,121.389827,學校
私立時雨高中附設國中,[224]新北市瑞芳區銅山里祈堂路217號,25.109013,121.855886,學校
市立海山高中附設國中,[220]新北市板橋區漢生東路215號,25.010246,121.471158,學校
市立三重高中附設國中,[241]新北市三重區集美街212號,25.055203,121.490703,學校
市立永平高中附設國中,[234]新北市永和區永平路205號,25.010656,121.508266,學校
市立樹林高中附設國中,[238]新北市樹林區中華路8號,24.984206,121.422665,學校
市立明德高中附設國中,[237]新北市三峽區中正路二段399號,24.905473,121.365084,學校
市立秀峰高中附設國中,[221]新北市汐止區忠孝東路201號,25.065613,121.659846,學校
市立金山高中附設國中,[208]新北市金山區美田里文化二路2號,25.224509,121.637555,學校
市立安康高中附設國中,[231]新北市新店區安興路25號,24.970145,121.514499,學校
市立雙溪高中附設國中,[227]新北市雙溪區梅竹蹊3號,25.035367,121.862774,學校
